供应商SKU,Wayfair Listing,状态,中文名,类目,你的拿货成本,YB表Base Cost,Catalog当前Base Cost,当前B2B折扣,当前供货收入,美国前台价,Base/前台价,Wayfair Total Cost,平台空间金额,平台空间率,供货价竞争百分位,发货成本竞争百分位,退货客诉竞争百分位,5月订单数,5月回款额,5月毛利,5月毛利率,5月0回款订单数,YB历史订单数,YB历史回款额,YB历史毛利,YB历史毛利率,YB历史0回款订单数,YB首单日期,YB末单日期,客诉扣款记录数,客诉扣款金额,客诉扣款类型,客诉扣款原因,平台历史订单数,平台历史销售额,平台历史净毛利,平台历史毛利率,当前Base预估毛利,当前Base预估毛利率,YB大促2B利润率,25%毛利所需Base,按前台价70%上限Base,距25%目标Base差额,Catalog-YB Base差额,SKU价值分层,促销准入,定价分组,主要问题,建议动作
TOOL-B03,DMOM1062,Live,黑色常规-对开门工具柜,工具,75.0,127.5,127.5,,117.3,175.99,0.7244729814193988,138.893819832,24.096180168000014,0.147838396024296,0.65,0.21,0.36,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.261999999999986,0.30061381074168786,0.123867478025693,108.69565217391305,123.193,-18.804347826086953,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；Base/前台价高于72%,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A04,DMOM1069,Live,套色压型-对开门工具推车,工具,75.0,127.5,127.5,,117.3,178.99,0.712330297781999,141.327706489,24.662293511,0.1485769836194951,0.65,0.34,0.13,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.261999999999986,0.30061381074168786,0.123867478025693,108.69565217391305,125.29299999999999,-18.804347826086953,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B08,DMOM1077,Live,黑色金属3层层板对开门工具柜,工具,125.0,212.5,212.5,,195.5,299.99,0.7083569452315077,240.08438505,39.90561495,0.1425251435765563,0.27,0.37,0.61,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,58.76999999999998,0.30061381074168786,0.123867478025693,181.1594202898551,209.993,-31.340579710144908,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A01,DMOM1072,Live,套色压型-单节工具柜,工具,45.0,76.5,76.5,,70.38,108.99,0.7018992568125516,86.690557944,15.29944205599999,0.1500092367487007,0.23,0.04,0.65,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,21.15719999999999,0.30061381074168786,0.123867478025693,65.21739130434783,76.29299999999999,-11.282608695652172,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B06,DMOM1068,Live,黑色常规-三抽工具推车,工具,95.0,161.5,161.5,,148.58,226.99,0.7114850874487862,179.899919358,30.090080642000004,0.1432929217677032,0.8,0.39,0.29,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,44.6652,0.30061381074168797,0.123867478025693,137.68115942028987,158.893,-23.818840579710127,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；供货价竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B02,DMOM1070,Live,半对开门工具柜-黑色,工具,65.0,110.5,110.5,,101.66,154.99,0.7129492225304858,122.643141,21.34685900000001,0.1482523716924787,0.49,0.23,0.2,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,30.560399999999987,0.30061381074168786,0.123867478025693,94.20289855072464,108.493,-16.29710144927536,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A08,DMOM1077,Live,套色压型-对开门工具柜(3隔板,工具,125.0,212.5,212.5,,195.5,299.99,0.7083569452315077,240.13258845,39.85741155000002,0.1423529824279439,0.29,0.39,0.62,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,58.76999999999998,0.30061381074168786,0.123867478025693,181.1594202898551,209.993,-31.340579710144908,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-A05,DMOM1067,Live,套色压型-上一抽下对开工具推车,工具,86.0,146.2,146.2,,134.504,203.99,0.7167017991077993,161.243223148,28.74677685200001,0.1513067890520554,0.69,0.26,0.29,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,40.43375999999998,0.30061381074168786,0.123867478025693,124.6376811594203,142.793,-21.562318840579692,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低,不要先提Base；先降拿货/包装/发货成本，或修Listing承接
TOOL-B01,DMOM1072,Live,黑色常规-单节工具柜,工具,44.0,74.8,74.8,,68.816,106.99,0.6991307598841013,84.881288584,15.108711415999991,0.1511022243824381,0.22,0.05,0.71,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,20.687039999999996,0.3006138107416879,0.123867478025693,63.76811594202899,74.89299999999999,-11.031884057971006,0.0,N,新品不进大促,不建议提价,成交样本不足；平台空间偏低；客诉退货竞争百分位偏高,不要先提Base；先降拿货/包装/发货成本，或修Listing承接；回看Customer Feedback/退货原因，修说明、包装或质量
5T-1830-900,DMOM1000,Live,,,45.0,89.0,89.0,10.0,80.1,139.99,0.6357596971212229,109.326280107,30.663719893000007,0.2190422165368955,0.5,0.94,0.31,2.0,151.3,52.222,0.3451553205551883,0.0,9.0,551.8,113.69200000000001,0.2060384197172889,2.0,2025-08-25 00:00:00,2026-05-29 00:00:00,,,,,9,551.8,113.692,0.206038419717289,30.293999999999997,0.3782022471910112,0.218829910887253,72.46376811594203,97.993,-16.53623188405797,0.0,C,禁止促销/先修复,价格健康,5月成交样本不足；历史存在0回款/异常订单；发货成本竞争百分位偏高,维持当前Base Cost，可做5%-10%轻促候选；优先复核包裹尺寸、发货方式、仓库位置；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
5T-dong-183-120,DMOM1015,Live,1830-1200-600-洞洞板,,76.0,120.0,120.0,10.0,108.0,177.99,0.6741951795044665,138.772705351,39.217294649,0.2203342583796842,0.21,0.79,0.84,,,,,,23.0,2212.08,255.35519999999997,0.1154366930671585,3.0,2025-09-13 00:00:00,2026-03-22 00:00:00,,,,,23,2212.08,255.3552,0.115436693067159,25.519999999999996,0.23629629629629625,0.0720306513409963,122.38325281803543,124.593,2.38325281803543,0.0,C,禁止促销/先修复,先修成本,5月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；大促2B利润率低于12%；发货成本竞争百分位偏高；客诉退货竞争百分位偏高,先复核成本、退货和物流，不进大促；优先复核包裹尺寸、发货方式、仓库位置；回看Customer Feedback/退货原因，修说明、包装或质量；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
VF-ZH-4W,DMOM1029,Live,4抽窄卡组合柜-白,文件柜,115.0,185.0,185.0,10.0,166.5,256.99,0.7198723685746526,200.765072305,56.22492769500002,0.21878255066345,0.63,0.21,0.0,,,,,,17.0,2584.45,474.383,0.18355278685987347,1.0,2025-10-27 00:00:00,2026-04-23 00:00:00,,,,,17,2584.45,474.383,0.183552786859873,41.50999999999999,0.24930930930930925,0.0854923889406648,185.1851851851852,179.893,0.18518518518519045,0.0,C,禁止促销/先修复,先修成本,5月无成交，仅历史订单支撑；真实订单毛利率一般；历史存在0回款/异常订单；大促2B利润率低于12%,先复核成本、退货和物流，不进大促；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
VFC-2W,DMOM1026,Live,窄卡2抽白色,文件柜,52.9,80.0,80.0,10.0,72.0,118.99,0.6723254054962602,91.85917038,27.13082962,0.2280093253214556,0.0,0.33,0.29,,,,,,12.0,710.4,32.976,0.04641891891891892,2.0,2025-11-17 00:00:00,2026-03-28 00:00:00,,,,,12,710.4,32.976,0.0464189189189189,14.779999999999994,0.2052777777777777,0.0399425287356322,85.18518518518519,83.29299999999999,5.1851851851851904,0.0,C,禁止促销/先修复,先修成本,5月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；大促2B利润率低于12%,先复核成本、退货和物流，不进大促；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
VFC-4W,DMOM1023,Live,窄卡4抽白色,文件柜,87.4,140.0,140.0,10.0,126.0,199.99,0.7000350017500875,155.356537384,44.633462616,0.2231784720036002,0.55,0.18,0.05,,,,,,4.0,365.4,-6.124000000000002,-0.016759715380405042,1.0,2025-11-28 00:00:00,2026-03-28 00:00:00,,,,,4,365.4,-6.124,-0.016759715380405,31.039999999999992,0.2463492063492063,0.0824302134646962,140.74074074074076,139.993,0.7407407407407618,0.0,C,禁止促销/先修复,先修成本,5月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；大促2B利润率低于12%,先复核成本、退货和物流，不进大促；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
5T-dong-198-120,DMOM1015,Live,1980-1200-457-洞洞板,,65.0,110.0,110.0,10.0,99.0,164.99,0.6667070731559488,128.661759485,36.328240515000005,0.2201844991514637,0.16,0.63,0.95,,,,,,3.0,198.0,-8.880000000000003,-0.04484848484848486,1.0,2025-09-20 22:39:06,2025-12-29 00:00:00,,,,,6,490.6,71.164,0.145055034651447,28.059999999999988,0.2834343434343433,0.120794148380355,104.66988727858293,115.493,-5.330112721417066,0.0,C,禁止促销/先修复,先修成本,5月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；客诉退货竞争百分位偏高,先复核成本、退货和物流，不进大促；回看Customer Feedback/退货原因，修说明、包装或质量；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
5T-wangge,DMOM1016,Live,网格货架,,45.0,80.0,80.0,10.0,72.0,114.99,0.6957126706670146,89.707360691,25.28263930899999,0.2198681564396903,0.55,0.09,0.91,,,,,,3.0,0.0,-135.0,,3.0,2025-09-20 22:43:03,2025-09-20 23:40:05,,,,,3,0.0,-135.0,0.0,22.679999999999993,0.3149999999999999,0.153448275862069,72.46376811594203,80.493,-7.536231884057969,0.0,C,禁止促销/先修复,先修成本,5月无成交，仅历史订单支撑；真实订单毛利率低于15%；历史存在0回款/异常订单；客诉退货竞争百分位偏高,先复核成本、退货和物流，不进大促；回看Customer Feedback/退货原因，修说明、包装或质量；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
VFC-5W-wheel,DMOM1030,"Live, Some Stores",窄五白带轮子套装,文件柜,107.1,187.425,175.0,10.0,157.5,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,40.94999999999999,0.25999999999999995,0.143185550082102,172.46376811594203,,-2.536231884057969,-12.425000000000011,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
VFC-4W-wheel,DMOM1030,"Live, Some Stores",窄四白带轮子套装,文件柜,91.0,159.25,150.0,10.0,135.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.89999999999999,0.26592592592592584,0.143185550082102,146.5378421900161,,-3.4621578099838928,-9.25,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
VFC-5B-wheel,DMOM1030,"Live, Some Stores",窄五黑带轮子套装,文件柜,107.3,187.775,175.0,10.0,157.5,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,40.749999999999986,0.25873015873015864,0.143185550082102,172.78582930756843,,-2.2141706924315656,-12.775000000000006,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
VFC-4B-wheel,DMOM1030,"Live, Some Stores",窄四黑带轮子套装,文件柜,91.1,159.425,150.0,10.0,135.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.8,0.2651851851851852,0.143185550082102,146.6988727858293,,-3.301127214170691,-9.425000000000011,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
