供应商SKU,状态,Wayfair Listing/SKU,目录当前Base Cost,目录新Base Cost,当前B2B折扣,新B2B折扣,新B2B Base Cost,当前MAP(USD),新MAP(USD),当前MSRP(USD),新MSRP(USD),Castlegate目标数量,Castlegate清仓折扣,Castlegate清仓MAP,Castlegate库存,美国前台价,加拿大前台价,加拿大法语前台价,Cost Stack净零售价,Cost Stack Base Cost,Wholesale Cost,Total Cost,出仓成本,客诉退货成本,产品津贴成本,其他操作成本,B2C折扣,平台空间金额,平台空间率,供货价竞争百分位,发货成本竞争百分位,客诉退货竞争百分位,两份Catalog是否一致,Catalog与CostStack Base差额,Base Cost/美国前台价,定价诊断,定价处理建议
MFC-D2-B,Live,DMOM1020,110,,10,,,,,,,,,,,157.99,325.99,325.99,157.99,110.0,99.0,122.176667594,14.54125936,7.087852,-5.94,7.487556234,-0.1,35.813332406000015,0.22668100769668975,0.55,0.77,0.0,True,0.0,0.6962465978859421,发货成本竞争力弱,复核包裹尺寸/配送方式
MFC-D2-W,Live,DMOM1020,110,,10,,,,,,,,,,,154.99,319.99,319.99,154.99,110.0,99.0,119.59825027,11.85266233,7.322832,-5.94,7.36275594,-0.1,35.391749730000015,0.22834860139363838,0.55,0.0,0.0,True,0.0,0.7097232079488999,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
VFC-3B,Live,DMOM1019,120,,10,,,,,,,,,,,163.99,339.99,339.99,163.99,120.0,108.0,128.243424402,12.04694299,6.947577,-6.48,7.728904412,-0.1,35.74657559800002,0.2179802158546254,0.4,0.15,0.3,True,0.0,0.7317519360936642,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
VFC-3W,Live,DMOM1019,120,,10,,,,,,,,,,,164.99,339.99,339.99,164.99,120.0,108.0,128.467130889,12.1107601,7.071774,-6.48,7.764596789,-0.1,36.522869111000006,0.22136413789320566,0.4,0.4,0.3,True,0.0,0.7273168070792169,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
MFC-D3-B,Live,DMOM1022,105,,10,,,,,,,,,,,139.99,306.99,306.99,139.99,105.0,94.5,114.326593884,11.8686952,6.840258,-5.67,6.787640684,-0.1,25.663406116000004,0.1833231381955854,0.17,0.33,0.22,True,0.0,0.7500535752553753,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
MFC-D3-W,Live,DMOM1022,105,,10,,,,,,,,,,,141.99,309.99,309.99,141.99,105.0,94.5,114.637800504,11.92171894,7.023708,-5.67,6.862373564,-0.1,27.35219949600001,0.19263468903443912,0.17,0.06,0.22,True,0.0,0.7394886963870695,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
VFC-4B,Live,DMOM1023,140,,10,,,,,,,,,,,199.99,409.99,409.99,199.99,140.0,126.0,155.307402144,18.34723216,9.468536,-7.56,9.051633984,-0.1,44.682597856,0.2234241604880244,0.55,0.23,0.05,True,0.0,0.7000350017500875,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
VFC-4W,Live,DMOM1023,140,,10,,,,,,,,,,,199.99,415.99,415.99,199.99,140.0,126.0,155.356537384,18.40298044,9.461137,-7.56,9.052419944,-0.1,44.633462616,0.2231784720036002,0.55,0.18,0.05,True,0.0,0.7000350017500875,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
LFC-3W,Live,DMOM1025,155,,10,,,,,,,,,,,219.99,449.99,449.99,219.99,155.0,139.5,170.554990511,20.23670065,9.34044,-8.37,9.847849861,-0.1,49.43500948900001,0.2247148028955862,0.6,0.6,0.1,True,0.0,0.7045774807945815,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
LFC-3B,Live,DMOM1025,155,,10,,,,,,,,,,,219.99,449.99,449.99,219.99,155.0,139.5,170.821228108,20.08066834,9.778272,-8.37,9.832287768,-0.1,49.168771891999995,0.22350457698986315,0.6,0.6,0.3,True,0.0,0.7045774807945815,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
LFC-2B-680,Live,DMOM1021,120,,10,,,,,,,,,,,165.99,335.99,335.99,165.99,120.0,108.0,128.080055419,12.16556527,6.574002,-6.48,7.820488149,-0.1,37.90994458100002,0.22838691837460098,0.48,0.05,0.0,True,0.0,0.7229351165732875,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
LFC-2W-680,Live,DMOM1021,120,,10,,,,,,,,,,,165.99,335.99,335.99,165.99,120.0,108.0,127.973810197,12.2239333,6.402213,-6.48,7.827663897,-0.1,38.016189803,0.22902698839086694,0.48,0.38,0.0,True,0.0,0.7229351165732875,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
VFC-5B,Live,DMOM1028,170,,10,,,,,,,,,,,249.99,519.99,519.99,249.99,170.0,153.0,195.145877694,28.12110025,12.278337,-9.18,10.926440444,-0.1,54.844122306,0.21938526463458538,0.48,0.78,0.39,True,0.0,0.6800272010880435,发货成本竞争力弱,复核包裹尺寸/配送方式
VFC-5W,Live,DMOM1028,170,,10,,,,,,,,,,,239.99,499.99,499.99,239.99,170.0,153.0,187.474511474,21.23388229,11.869936,-9.18,10.550693184,-0.1,52.51548852600001,0.21882365317721575,0.48,0.35,0.39,True,0.0,0.7083628484520188,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
LFC-4B,Live,DMOM1027,200,,10,,,,,,,,,,,285.99,589.99,589.99,285.99,200.0,180.0,223.440714505,28.29924325,13.647753,-10.8,12.293718255,-0.1,62.54928549500002,0.21871144269030393,0.76,0.38,0.29,True,0.0,0.6993251512290639,供货价市场竞争力弱,复核采购成本或Base Cost
LFC-4W,Live,DMOM1027,200,,10,,,,,,,,,,,279.99,579.99,579.99,279.99,200.0,180.0,217.490943855,22.33145275,13.907538,-10.8,12.051953105,-0.1,62.499056145,0.2232188869066752,0.76,0.33,0.29,True,0.0,0.7143112254009072,供货价市场竞争力弱,复核采购成本或Base Cost
VF-ZH-4B,Live,DMOM1029,185,,10,,,,,,,,,,,255.99,539.99,539.99,255.99,185.0,166.5,200.344174635,20.86900351,11.783667,-9.99,11.181504125,-0.1,55.64582536500001,0.21737499654283374,0.63,0.53,0.0,True,0.0,0.7226844798624946,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
VF-ZH-4W,Live,DMOM1029,185,,10,,,,,,,,,,,256.99,539.99,539.99,256.99,185.0,166.5,200.765072305,20.88000646,12.170103,-9.99,11.204962845,-0.1,56.22492769500002,0.21878255066345,0.63,0.21,0.0,True,0.0,0.7198723685746526,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
LFC-5B,Live,DMOM1024,230,,10,,,,,,,,,,,329.99,709.99,709.99,329.99,230.0,207.0,259.105859248,31.47060781,19.215971,-12.42,13.839280438,-0.1,70.88414075200001,0.21480693582229765,0.73,0.73,0.64,True,0.0,0.6969908179035729,供货价市场竞争力弱；发货成本竞争力弱,复核采购成本或Base Cost；复核包裹尺寸/配送方式
LFC-5W,Live,DMOM1024,230,,10,,,,,,,,,,,319.99,679.99,679.99,319.99,230.0,207.0,253.156175174,25.97290525,19.161351,-12.42,13.441918924,-0.1,66.83382482600001,0.2088622295259227,0.73,0.5,0.64,True,0.0,0.7187724616394262,供货价市场竞争力弱,复核采购成本或Base Cost
VFC-2B,Live,DMOM1026,80,,10,,,,,,,,,,,119.99,249.99,249.99,119.99,80.0,72.0,93.288098201,14.2044643,5.351533,-4.32,6.052100901,-0.1,26.701901798999998,0.22253439285773813,0.0,0.0,0.29,True,0.0,0.6667222268522377,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
VFC-2W,Live,DMOM1026,80,,10,,,,,,,,,,,118.99,239.99,239.99,118.99,80.0,72.0,91.85917038,12.9752776,5.183645,-4.32,6.02024778,-0.1,27.13082962,0.2280093253214556,0.0,0.33,0.29,True,0.0,0.6723254054962602,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
VFC-5W-wheel,"Live, Some Stores",DMOM1030,175,,10,,,,,,,,,,,,475.99,475.99,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
VFC-4W-wheel,"Live, Some Stores",DMOM1030,150,,10,,,,,,,,,,,,399.99,399.99,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
VFC-5B-wheel,"Live, Some Stores",DMOM1030,175,,10,,,,,,,,,,,,439.99,439.99,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
VFC-4B-wheel,"Live, Some Stores",DMOM1030,150,,10,,,,,,,,,,,,374.99,374.99,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
MFC-D01,Live,DMOM1031,125,,10,,,,,,,,,,,174.99,299.99,299.99,189.99,125.0,115.0,138.141381897,12.45845332,8.913526,-6.9,8.669402577,-0.08,51.84861810300001,0.27290182695405024,,,,True,0.0,0.7143265329447397,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
MFC-D02,Live,DMOM1031,140,,10,,,,,,,,,,,194.99,359.99,359.99,209.99,140.0,128.8,153.622565837,13.45573975,9.664301,-7.728,9.430525087,-0.08,56.36743416300001,0.2684291354969285,,,,True,0.0,0.717985537719883,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
MFC-D03,Live,DMOM1031,135,,10,,,,,,,,,,,189.99,319.99,319.99,203.99,135.0,124.2,148.730247104,13.3776712,9.403036,-7.452,9.201539904,-0.08,55.25975289600001,0.27089442078533266,,,,True,0.0,0.7105637138796779,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
MFC-D04,Live,DMOM1031,125,,10,,,,,,,,,,,174.99,319.99,319.99,189.99,125.0,115.0,137.902936029,12.30451681,8.82603,-6.9,8.672389219,-0.08,52.08706397100002,0.27415687126164545,,,,True,0.0,0.7143265329447397,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
CT-02,Live,DMOM1037,128,,10,,,,,,,,,,,233.99,389.99,389.99,233.99,128.0,117.76,155.678079577,17.93865595,16.618941,-7.0656,10.426082627,-0.08,78.311920423,0.3346806291850079,0.18,0.18,0.45,True,0.0,0.5470319244412154,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
PT01-WH,Live,DMOM1038,136,,10,,,,,,,,,,,212.99,359.99,359.99,212.99,136.0,125.12,159.469144485,20.19038347,11.308146,-7.5072,10.357815015,-0.08,53.52085551500002,0.2512834194797879,0.0,0.0,0.0,True,0.0,0.6385276304051833,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
PT02-WH,Live,DMOM1039,162,,10,,,,,,,,,,,249.99,419.99,419.99,249.99,162.0,149.04,186.778244087,21.31886698,13.636974,-8.9424,11.724803107,-0.08,63.21175591300002,0.2528571379375176,0.55,0.18,0.09,True,0.0,0.6480259210368414,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
CT-01,Live,DMOM1040,136,,10,,,,,,,,,,,246.99,409.99,409.99,246.99,136.0,125.12,164.110445663,17.93855116,17.671158,-7.5072,10.887936503,-0.08,82.879554337,0.3355583397586947,0.36,0.09,0.0,True,0.0,0.5506295801449451,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
CT-3ps,Live,DMOM1041,187,,10,,,,,,,,,,,329.99,549.99,549.99,329.99,187.0,172.04,221.530225467,21.19490041,24.786618,-10.3224,13.831107057,-0.08,108.459774533,0.32867594331040334,1.0,1.0,0.7,True,0.0,0.5666838389042093,供货价市场竞争力弱；发货成本竞争力弱,复核采购成本或Base Cost；复核包裹尺寸/配送方式
PT03-WH,Live,DMOM1042,162,,10,,,,,,,,,,,249.99,419.99,419.99,249.99,162.0,149.04,186.479740826,20.98144318,13.676877,-8.9424,11.723820646,-0.08,63.510259174,0.2540511987439497,0.5,0.0,0.18,True,0.0,0.6480259210368414,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
PT04-WH,Live,DMOM1043,170,,10,,,,,,,,,,,259.99,429.99,429.99,259.99,170.0,156.4,194.197349279,20.9738983,14.122738,-9.384,12.084712979,-0.08,65.792650721,0.2530583896342167,0.33,0.1,0.36,True,0.0,0.6538713027424131,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
PT05-WH,Live,DMOM1044,99,,10,,,,,,,,,,,169.99,289.99,289.99,169.99,99.0,91.08,117.655349922,12.22697221,10.875865,-5.4648,8.937312712,-0.08,52.33465007800001,0.3078689927525149,0.29,0.05,0.47,True,0.0,0.5823871992470145,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
6D-locker,"Live, Some Stores",DMOM1045,145,,10,,,,,,,,,,,,359.99,359.99,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
9D-locker,"Live, Some Stores",DMOM1046,156,,10,,,,,,,,,,,,389.99,389.99,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
W3D-G-locker,Live,DMOM1047,221,,10,,,,,,,,,,,319.99,569.99,569.99,319.99,221.0,203.32,253.386586223,30.1440712,17.633087,-12.1992,14.488628023,-0.08,66.60341377700001,0.20814217249601555,0.69,0.51,0.46,True,0.0,0.6906465827057096,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
W9D-G-locker,Live,DMOM1048,238,,10,,,,,,,,,,,349.99,589.99,589.99,349.99,238.0,218.96,276.786057519,31.14366301,24.318799,-13.1376,15.501195509,-0.08,73.20394248100001,0.20916009737706795,0.81,0.52,0.67,True,0.0,0.6800194291265464,供货价市场竞争力弱,复核采购成本或Base Cost
