"Grade","Score","Part","Listing","Name","Category","Status","Qty","Orders","Sales","Gross","Deduction","NetGross","HistMargin","Rating","Reviews","CR","Images","Units","Visits","AdSpend","AdSales","AdOrders","ROAS","PlatformMargin","PlatformPct","Reason","Action"
"N","0","YB-CW12S0768","DMOM1008",,,"Live","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","PT05-WH","DMOM1044",,,"Live","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P310087","VFC-5B-wheel","窄五黑带轮子套装","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P442673","P442673-Too-9","黑色金属五小抽一大抽工具推车","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P350193","Pantry-07","白色通铁对开门储物柜","餐边柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P236567","TOOL-A03","套色压型-对开门工具柜","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P222838","TOOL-A08","套色压型-对开门工具柜(3隔板","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","W2735P332344","record-desk-Brown","胡桃木色铁木两抽屉带铁架唱片桌","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P413025","Shoe-01","白色金属上2抽下2翻门鞋柜","鞋柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P413026","Shoe-02","白色金属上3抽下4翻门鞋柜","鞋柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P272107","LFC-2W-680","680宽二抽-白","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P242683","TOOL-B06","黑色常规-三抽工具推车","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P205947","9D-locker","9门书包柜","locker",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P442668","800FC-B-Wheel","黑色金属带轮中文件柜（4层板）","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P222835","TOOL-A06","套色压型-三抽工具推车-","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P413024","Media-01","黑色金属对开门玻璃媒体柜","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P160408","5T-1600-800","","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","W2735P332342","Desk-01","火烧云棕色钢木L型一字型带插座办公桌","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P236483","TOOL-A01","套色压型-单节工具柜","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P465982","","白色金属等九抽斗柜","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P313255","5T-dong-198-120","1980-1200-457-洞洞板","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P391281","MFC-D04","白色金属3抽窄活动柜","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P154427","LFC-2B","宽卡2抽黑色","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P480393","","白色金属对开门下2抽百叶窗衣柜","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P442670","P442670","白色金属下对开门上三镂空转角柜","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P154414","VFC-2B","窄卡2抽黑色","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P160409","5T-1830-900","","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
