Reporting Month,Supplier Part Id,Supplier Part Number,Brand Catalog,Wayfair Sku,Product Name,Class Name,Total Revenue,Total Revenue Mom,Total Revenue Yoy,Total Revenue B2B,Total Revenue Premium Brands,Total Orders,Total Orders B2B,Total Orders Premium Brands,Units Sold,Units Sold B2B,Units Sold Premium Brands,Sessions,Sessions Mom,Sessions Yoy,Sessions Percentage B2B,Unit Session Percentage,Unit Session Percentage B2B,Add To Cart Rate,Conversion Rate,Order To Delivery Stated,Order To Delivery Actual,Fill Rate Supplier,Actual Lost Sales,Option Combination Image Coverage,Required Tag Coverage,Sponsored Product Impressions (SKU Level),Sponsored Product Clicks (SKU Level),Sponsored Product Average Daily Spend (SKU Level),Sponsored Product Total Spend (SKU Level),Sponsored Product Attributed Revenue (SKU Level),Sponsored Product Attributed Orders (SKU Level),Sponsored Product Cost Per Click (SKU Level),Sponsored Product Return On Ad Spend Revenue (SKU Level),Sponsored Product Return On Ad Spend Retail Sales (SKU Level)
May 2026,137600195,4T-Kayak,Wayfair Canada (English),DMOM1003,"Freestanding 4-tier Kayak & Canoe Storage Rack With Adjustable Arms, Weather-resistant Steel Frame, 80'' H, Black",Bike And Sport Racks,117.66,,,,117.66,1,,1,1,,1,25,1.2727272727272727,,,0.04,,0.08,0.04,,,,,1,0.8571428571428571,,,,,,,,,
May 2026,137600195,4T-Kayak,Wayfair Canada (French),DMOM1003,"Support de rangement autoportant pour kayaks et canoës à 4 niveaux avec accoudoirs réglables, structure en acier résistant aux intempéries, H 80 po, noir",Bike And Sport Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.8571428571428571,,,,,,,,,
May 2026,137600195,4T-Kayak,Wayfair US,DMOM1003,"Freestanding 4-tier Kayak & Canoe Storage Rack With Adjustable Arms, Weather-resistant Steel Frame, 80'' H, Black",Bike And Sport Racks,473.76,-0.5,,0,473.76,4,0,4,4,0,4,131,1.1129032258064515,,0.14503816793893129,0.030534351,0,0.10687022900763359,0.038167938931297711,9.5,6.5,,,1,0.8571428571428571,7374,33,1.720526316,32.69,252,2,0.990606061,7.708779443,11.929642092
May 2026,137600219,5T-Niudun,Wayfair Canada (English),DMOM1005,"4-tier 70''h Black Metal Bookshelf With Adjustable Shelves And Sturdy Steel Frame, Industrial Tall Bookcase For Living Room, Bedroom, Or Office",Bookcases,,,,,,,,,,,,,-1,,,,,,,,,,,1,0.875,,,,,,,,,
May 2026,137600219,5T-Niudun,Wayfair Canada (French),DMOM1005,"Bibliothèque à 4 niveaux de 70 po en métal noir avec tablettes réglables et structure en acier robuste, grande bibliothèque industrielle pour le salon, la chambre à coucher ou le bureau",Bookcases,,,,,,,,,,,,,,,,,,,,,,,,1,0.87878787878787878,,,,,,,,,
May 2026,137600219,5T-Niudun,Wayfair US,DMOM1005,"4-tier 70''h Black Metal Bookshelf With Adjustable Shelves And Sturdy Steel Frame, Industrial Tall Bookcase For Living Room, Bedroom, Or Office",Bookcases,,,,,,,,,,,,66,1.4444444444444444,,0.045454545454545456,0,0,0.030303030303030304,0,,,,,1,0.875,,,,,,,,,
May 2026,139282134,MK-WB001B,Wayfair Canada (English),DMOM1006,"48'' Adjustable Rolling Workbench With Pegboard & Storage Hooks, Metal Utility Table For Garage Or Workshop",Workbenches,,,,,,,,,,,,,,,,,,,,,,,,1,0.8,,,,,,,,,
May 2026,139282134,MK-WB001B,Wayfair Canada (French),DMOM1006,"Établi roulant réglable de 48 po avec panneau perforé et crochets de rangement, table utilitaire en métal pour garage ou atelier",Workbenches,,,,,,,,,,,,,,,,,,,,,,,,1,0.8,,,,,,,,,
May 2026,139282134,MK-WB001B,Wayfair US,DMOM1006,"48'' Adjustable Rolling Workbench With Pegboard & Storage Hooks, Metal Utility Table For Garage Or Workshop",Workbenches,,,,,,,,,,,,,,,,,,,,,,,,1,0.8,,,,,,,,,
May 2026,139775462,YB-CW12A0720,Wayfair Canada (English),DMOM1007,"70'' Tall Outdoor Cat Catio With Wheels, 3 Platforms, Condo House & Sunshine Roof, Grey Wood Enclosure",Cat Cages & Playpens,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139775462,YB-CW12A0720,Wayfair Canada (French),DMOM1007,"Catio d'extérieur de 70 po de hauteur avec roues, 3 plateformes, maisonnette et toit ensoleillé, enclos en bois gris",Cat Cages & Playpens,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139775462,YB-CW12A0720,Wayfair US,DMOM1007,"70'' Tall Outdoor Cat Catio With Wheels, 3 Platforms, Condo House & Sunshine Roof, Gray Wood Enclosure",Cat Cages & Playpens,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139775463,YB-CW12S0768,Wayfair Canada (English),DMOM1008,"2-in-1 Reversible Cardboard Cat Scratcher Bed And Lounger With Catnip And Spring Toy, Curved Design For Indoor Cats",Cat Condos & Cat Trees,,,,,,,,,,,,,,,,,,,,,,,,1,0.782608695652174,,,,,,,,,
May 2026,139775463,YB-CW12S0768,Wayfair Canada (French),DMOM1008,"Lit à griffer réversible en carton 2-en-1 avec chaise à griffes et ressort, conception courbée pour chats d'intérieur",Cat Condos & Cat Trees,,,,,,,,,,,,,,,,,,,,,,,,1,0.782608695652174,,,,,,,,,
May 2026,139775463,YB-CW12S0768,Wayfair US,DMOM1008,"2-in-1 Reversible Cardboard Cat Scratcher Bed And Lounger With Catnip And Spring Toy, Curved Design For Indoor Cats",Cat Condos & Cat Trees,,,,,,,,,,,,,,,,,,,,,,,,1,0.782608695652174,,,,,,,,,
May 2026,139775467,YB-MSE3400003,Wayfair Canada (English),DMOM1009,"54'' Heavy-duty Dog Crate With Removable Tray, Roof Top & Wheels, Large Pet Kennel Cage For Indoor/outdoor Use",Crates and Carriers,,,,,,,,,,,,,,,,,,,,,,,,1,0.66666666666666663,,,,,,,,,
May 2026,139775467,YB-MSE3400003,Wayfair Canada (French),DMOM1009,"Cage pour chien robuste de 54 po avec plateau amovible, toit et roues, grande cage pour chenil pour l'intérieur et l'extérieur",Crates and Carriers,,,,,,,,,,,,,,,,,,,,,,,,1,0.66666666666666663,,,,,,,,,
May 2026,139775467,YB-MSE3400003,Wayfair US,DMOM1009,"54'' Heavy-duty Dog Crate With Removable Tray, Roof Top & Wheels, Large Pet Kennel Cage For Indoor/outdoor Use",Crates and Carriers,,,,,,,,,,,,,-1,,,,,,,,,,,1,0.62962962962962965,,,,,,,,,
May 2026,139780729,YB-CW12S0714,Wayfair Canada (English),IFOM4699,"Wooden Hamster Cage with Tunnels, Gerbil Enclosure with Detachable Tray & Wheels, Openable Top and Front, Grey Small Animal Hutch for Mice, Rats, and Other Tiny Pets",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
