Report Week,BrandCatalog,SKU,Display Sku,SupplierPart Number,ManufacturerPart Number,Class Name,Supplier ID,Supplier Name,Is CG,Ship Class,Product Status,SKU LaunchMonth,Brand Type,Is InExclusivity Program,QuantitySold L90D,WSC L90D,QuantitySold L12M,WSC L12M,Retail Price,Tax And Duties,Retail Price Net,Base Cost,WholesaleCost,Ship Outbound Cost,Ship Other Cost,Incident And Return Cost,Rebate,Product Allowance Cost,Other Handling Cost,Total Cost,B2C Discount,CG Markdown,WSC MarketCompetitiveness Percentile,ShipCost MarketCompetitiveness Percentile,IncidentsAndReturnCost MarketCompetitiveness Percentile
2026-05-31,Wayfair US,DMOM1067,W119966376,TOOL-A05,TOOL-A05,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,189.99,0,189.99,146.2,134.504,15.72475762,0,9.2903376,0,-8.07024,9.794367928,161.243223148,-0.08,,0.69,0.26,0.29
2026-05-31,Wayfair US,DMOM1072,W119966385,TOOL-A01,TOOL-A01,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,101.99,0,101.99,76.5,70.38,8.62418722,0,5.446441,0,-4.2228,6.462729724,86.690557944,-0.08,,0.23,0.04,0.65
2026-05-31,Wayfair US,DMOM1074,W119966380,TOOL-A07,TOOL-A07,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,229.99,0,229.99,178.5,164.22,20.55620536,0,11.453256,0,-9.8532,11.29578497,197.67204633,-0.08,,0.88,0.44,0.27
2026-05-31,Wayfair US,DMOM1000,W114466261,5T-1830-900,5T-1830-900,Shelving & Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,2,151.3,9,705.77,139.99,0,139.99,89,80.1,22.24908781,0,5.400483,0,-4.806,6.382709297,109.326280107,-0.1,,0.5,0.94,0.31
2026-05-31,Wayfair US,DMOM1006,W114941605,MK-WB001B,MK-WB001B,Workbenches,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,,0,,0,249.99,0,249.99,179.99,161.991,21.55307263,0,11.6919192,0,-9.71946,11.278275526,196.794807356,-0.1,,0.85,0.38,0
2026-05-31,Wayfair US,DMOM1009,W115098286,YB-MSE3400003,YB-MSE3400003,Crates and Carriers,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,,0,,0,365.99,0,365.99,245,220.5,36.27984007,0,21.577302,0,-13.23,15.889493666,281.016635736,-0.1,,0.18,1,0.45
2026-05-31,Wayfair US,DMOM1012,W115101378,YB-CW12Y0719,YB-CW12Y0719,Small Animal Cages And Habitats,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,,0,,0,136.99,0,136.99,105,94.5,16.44927568,0,7.1512,0,-5.67,6.527884377,118.958360057,-0.1,,0,1,0.89
2026-05-31,Wayfair US,DMOM1022,W116063490,MFC-D3-B,MFC-D3-B,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,35,1291.5,57,3096.45,139.99,0,139.99,105,94.5,11.8686952,0,6.840258,0,-5.67,6.787640684,114.326593884,-0.1,,0.17,0.33,0.22
2026-05-31,Wayfair US,DMOM1047,W119204836,W3D-G-locker,W3D-G-locker,Lockers,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Mar-2026,Header Brand,Not exclusive,,0,,0,319.99,0,319.99,221,203.32,30.1440712,0,17.633087,0,-12.1992,14.488628023,253.386586223,-0.08,,0.69,0.51,0.46
2026-05-31,Wayfair US,DMOM1062,W119966389,TOOL-B03,TOOL-B03,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,162.99,0,162.99,127.5,117.3,11.79104581,0,8.080482,0,-7.038,8.760292022,138.893819832,-0.08,,0.65,0.21,0.36
2026-05-31,Wayfair US,DMOM1069,W119966387,TOOL-B04,TOOL-B04,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,169.99,0,169.99,132.6,121.992,13.85016931,0,8.2457132,0,-7.31952,9.046803249,145.815165759,-0.08,,0.69,0.32,0.13
2026-05-31,Wayfair US,DMOM1000,W114466261,5T-1980-1200,5T-1980-1200,Shelving & Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,10,954,30,2877.6,172.99,0,172.99,120,108,18.44657308,0,7.050245,0,-6.48,7.616199062,134.633017142,-0.1,,0.78,0.44,0.38
2026-05-31,Wayfair US,DMOM1005,W114460483,5T-Niudun,5T-Niudun,Bookcases,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,1,59.4,3,178.2,109.99,0,109.99,108,59.4,18.67553923,0,4.607873,0,-3.564,5.294542263,84.413954493,-0.45,,0.59,0.76,0.24
2026-05-31,Wayfair US,DMOM1007,W115098288,YB-CW12A0720,YB-CW12A0720,Cat Cages & Playpens,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,,0,,0,289.99,0,289.99,220,198,31.80981304,0,13.994415,0,-11.88,12.951087139,244.875315179,-0.1,,0.09,1,0.45
2026-05-31,Wayfair US,DMOM1017,W115286599,3T-W,3T-W,Aquariums & Bowls,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,5,245,9,245.31,92.99,0,92.99,70,63,10.53461371,0,4.771167,0,-3.78,5.813238132,80.339018842,-0.1,,0,0,0.59
2026-05-31,Wayfair US,DMOM1020,W116063492,MFC-D2-B,MFC-D2-B,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,24,1807.3,61,5404.3,157.99,0,157.99,110,99,14.54125936,0,7.087852,0,-5.94,7.487556234,122.176667594,-0.1,,0.55,0.77,0
2026-05-31,Wayfair US,DMOM1029,W116052666,VF-ZH-4B,VF-ZH-4B,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,11,1628,27,4238.35,255.99,0,255.99,185,166.5,20.86900351,0,11.783667,0,-9.99,11.181504125,200.344174635,-0.1,,0.63,0.53,0
2026-05-31,Wayfair US,DMOM1037,W119184271,CT-02,CT-02,Coffee & Cocktail Tables,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Mar-2026,Header Brand,Not exclusive,,0,,0,233.99,0,233.99,128,117.76,17.93865595,0,16.618941,0,-7.0656,10.426082627,155.678079577,-0.08,,0.18,0.18,0.45
