Promotion Name,Promotion Start Date,Promotion End Date,Class,Store,Product Part #,Revenue 30 Days Prior,Avg Daily Revenue Prior 30 Days,Revenue During Promotion,Avg Daily Revenue During Promotion,Revenue Post 30 Days,Avg Daily Revenue Post 30 Days,# of Units Sold 30 Days Prior,Avg Daily Units Sold Prior 30 Days,# of Units Sold During Promotion,Avg Daily Units Sold During Promotion,# of Units Sold Post 30 Days,Avg Daily Units Sold Post 30 Days,Discount Percent,Impressions,Conversion Rate
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair US,LFC-2W-680,994.89,33.16,197.4,32.9,501.96,16.73,10,0.33,2,0.33,5,0.17,10,8,25
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair US,LFC-3B,1180.87,39.36,156.62,26.1,123.84,4.13,10,0.33,2,0.33,1,0.03,10,6,16.666666666666664
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair US,LFC-3W,1145.2,38.17,262.26,43.71,1034.46,34.48,9,0.3,2,0.33,8,0.27,10,16,12.5
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair US,MFC-D2-B,1272.86,42.43,279.18,46.53,1008.15,33.61,14,0.47,3,0.5,11,0.37,10,37,2.7027027027027026
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair Canada (English),MFC-D2-W,0,0,91.64,15.27,0,0,0,0,1,0.17,0,0,10,,
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair US,MFC-D3-B,1180.45,39.35,83.89,13.98,0,0,14,0.47,1,0.17,0,0,10,3,0
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair US,VF-ZH-4W,911.22,30.37,156.51,26.09,0,0,5,0.17,1,0.17,0,0,10,8,0
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Filing Cabinets,Wayfair US,VFC-3B,1296.06,43.2,101.52,16.92,203.04,6.77,13,0.43,1,0.17,2,0.07,10,12,8.3333333333333321
NA 5 Days of Deals - October 2025,2025-10-10,2025-10-15,Bike And Sport Racks,Wayfair US,2T-Kayak,237.55,7.92,160.74,26.79,75.9,2.53,3,0.1,1,0.17,1,0.03,10,,
NA 5 Days of Deals - October 2025,2025-10-10,2025-10-15,Aquariums & Bowls,Wayfair US,3T-B,0,0,59.22,9.87,0,0,0,0,1,0.17,0,0,10,,
NA 5 Days of Deals - October 2025,2025-10-10,2025-10-15,Bike And Sport Racks,Wayfair Canada (English),3T-Kayak,0,0,94.33,15.72,0,0,0,0,1,0.17,0,0,10,,
NA 5 Days of Deals - October 2025,2025-10-10,2025-10-15,Bike And Sport Racks,Wayfair US,4T-Kayak,471.13,15.7,236.88,39.48,579.04,19.3,4,0.13,2,0.33,5,0.17,10,,
NA 5 Days of Deals - October 2025,2025-10-10,2025-10-15,Shelving & Racks,Wayfair US,5T-1980-1200,99.27,3.31,0,0,605.73,20.19,1,0.03,0,0,6,0.2,10,5,20
NA 5 Days of Deals - October 2025,2025-10-10,2025-10-15,Shelving & Racks,Wayfair US,6T-2095-122,-2.64,-0.09,126.9,21.15,493.5,16.45,1,0.03,1,0.17,4,0.13,10,1,100
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Filing Cabinets,Wayfair Canada (English),LFC-2B-680,295.5,9.85,201.46,50.37,100.16,3.34,3,0.1,2,0.5,1,0.03,10,4,25
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Filing Cabinets,Wayfair US,LFC-2W-680,992.79,33.09,203.04,50.76,893.37,29.78,11,0.37,2,0.5,9,0.3,10,8,0
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Filing Cabinets,Wayfair US,LFC-4B,161.96,5.4,163.56,40.89,2120.78,70.69,2,0.07,1,0.25,15,0.5,10,2,50
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Filing Cabinets,Wayfair US,MFC-D2-B,457.15,15.24,93.06,23.27,907.86,30.26,6,0.2,1,0.25,10,0.33,10,2,0
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Filing Cabinets,Wayfair US,VF-ZH-4B,773.85,25.8,307.8,76.95,907.74,30.26,5,0.17,2,0.5,6,0.2,10,9,11.111111111111111
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Filing Cabinets,Wayfair US,VFC-2W,63.35,2.11,135.36,33.84,0,0,3,0.1,2,0.5,0,0,10,3,66.666666666666657
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Filing Cabinets,Wayfair US,VFC-4W,-2.52,-0.08,115.81,28.95,0,0,1,0.03,1,0.25,0,0,10,1,100
NA 72 Hour Clearout - December 2025,2025-12-13,2025-12-16,Cat Condos & Cat Trees,Wayfair US,YB-CW12S0768,0,0,0,0,0,0,0,0,0,0,0,0,10,,
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Bike And Sport Racks,Wayfair US,4T-Kayak,230.3,7.68,223.72,55.93,829.08,27.64,2,0.07,2,0.5,7,0.23,15,,
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Shelving & Racks,Wayfair US,5T-1830-1200,118.44,3.95,111.86,27.97,0,0,1,0.03,1,0.25,0,0,15,1,0
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,LFC-2B,427.27,14.24,107.86,26.97,1006.31,33.54,5,0.17,1,0.25,9,0.3,15,9,11.111111111111111
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,LFC-2B-680,203.04,6.77,291.03,72.76,1091.91,36.4,2,0.07,3,0.75,11,0.37,15,12,16.666666666666664
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,LFC-2W-680,394.8,13.16,191.76,47.94,1485.58,49.52,4,0.13,2,0.5,15,0.5,15,38,5.2631578947368416
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,LFC-3W,123.84,4.13,123.84,30.96,762,25.4,1,0.03,1,0.25,6,0.2,15,11,9.0909090909090917
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,LFC-4B,159.8,5.33,165.44,41.36,1466.4,48.88,1,0.03,1,0.25,10,0.33,15,8,0
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,MFC-D2-B,884.07,29.47,178.88,44.72,542.85,18.1,10,0.33,2,0.5,6,0.2,15,22,4.5454545454545459
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,MFC-D2-W,0,0,87.89,21.97,712.98,23.77,0,0,1,0.25,13,0.43,15,20,5
